Date,Open,High,Low,Close
09/19/2024 00:00,158.593,158.821,158.593,158.694
09/18/2024 23:55,158.554,158.625,158.5,158.55
09/18/2024 23:50,158.523,158.528,158.415,158.485
09/18/2024 23:45,158.435,158.513,158.4,158.507
09/18/2024 23:40,158.488,158.511,158.38,158.408
09/18/2024 23:35,158.549,158.56,158.437,158.514
09/18/2024 23:30,158.424,158.6,158.386,158.545
09/18/2024 23:25,158.432,158.534,158.38,158.476
09/18/2024 23:20,158.481,158.49,158.355,158.382
09/18/2024 23:15,158.355,158.538,158.303,158.534
09/18/2024 23:10,158.307,158.38,158.26,158.37
09/18/2024 23:05,158.235,158.363,158.181,158.333
09/18/2024 23:00,158.045,158.159,158.018,158.15
09/18/2024 22:55,158.073,158.152,158.0,158.031
09/18/2024 22:50,158.119,158.13,158.04,158.12
09/18/2024 22:45,158.1,158.157,158.08,158.145
09/18/2024 22:40,158.077,158.129,158.036,158.1
09/18/2024 22:35,157.939,158.002,157.899,157.963
09/18/2024 22:30,157.848,157.97,157.84,157.936
09/18/2024 22:25,157.88,157.9,157.796,157.86
09/18/2024 22:20,157.915,157.922,157.84,157.877
09/18/2024 22:15,157.906,157.963,157.855,157.88
09/18/2024 22:10,157.871,157.91,157.832,157.88
09/18/2024 22:05,157.918,158.01,157.743,157.861
09/18/2024 22:00,158.0,158.12,157.84,157.915
09/18/2024 21:55,158.08,158.08,157.973,157.973
09/18/2024 21:50,157.973,158.11,157.957,158.06
09/18/2024 21:45,157.951,158.0642650655993,157.951,158.03
09/18/2024 21:40,158.057,158.1,158.01,158.01
09/18/2024 21:35,158.092,158.11,157.98,158.1
09/18/2024 21:30,158.09,158.1363282553097,158.035,158.1
09/18/2024 21:25,158.12,158.1496719670855,158.01,158.07
09/18/2024 21:20,158.066,158.1585677749361,158.0200000000001,158.043
09/18/2024 21:15,158.11,158.14,158.033,158.12
09/18/2024 21:10,158.08,158.14,158.011,158.136
09/18/2024 21:05,158.12,158.1346228669891,157.99,158.09
09/18/2024 21:00,158.182,158.207295991818,158.065,158.13
09/18/2024 20:55,158.179,158.194,158.12,158.182
09/18/2024 20:50,158.19,158.221,158.17,158.204
09/18/2024 20:45,158.185,158.2,158.12,158.142
09/18/2024 20:40,158.19,158.2044083720155,158.14,158.153
09/18/2024 20:35,158.149,158.245,158.13,158.19
09/18/2024 20:30,158.211,158.224,158.119,158.151
09/18/2024 20:25,158.156,158.176,158.094,158.164
09/18/2024 20:20,158.218,158.222,158.076,158.121
09/18/2024 20:15,158.247,158.2576809822768,158.163,158.205
09/18/2024 20:10,158.062,158.292,158.03,158.26
09/18/2024 20:05,158.06,158.132,158.025,158.064
09/18/2024 20:00,158.183,158.226,158.102,158.157
09/18/2024 19:55,158.14,158.244,158.14,158.203
09/18/2024 19:50,158.29,158.367,158.164,158.171
09/18/2024 19:45,158.077,158.195,158.06,158.139
09/18/2024 19:40,158.114,158.164,158.027,158.122
09/18/2024 19:35,158.128,158.191,158.016,158.119
09/18/2024 19:30,158.08,158.155,158.04,158.066
09/18/2024 19:25,158.067,158.144,157.993,158.036
09/18/2024 19:20,157.925,158.247,157.885,158.111
09/18/2024 19:15,157.767,157.999,157.697,157.923
09/18/2024 19:10,157.84,157.84,157.596,157.741
09/18/2024 19:05,157.563,157.867,157.55,157.808
09/18/2024 19:00,157.329,157.668,157.311,157.601
09/18/2024 18:55,157.605,157.62,157.425,157.52
09/18/2024 18:50,157.57,157.678,157.46,157.504
09/18/2024 18:45,157.312,157.624,157.27,157.579
09/18/2024 18:40,157.229,157.399,157.184,157.312
09/18/2024 18:35,157.13,157.412,157.1,157.14
09/18/2024 18:30,157.36,157.413,157.14,157.18
09/18/2024 18:25,157.277,157.397,157.239,157.345
09/18/2024 18:20,157.252,157.378,157.099,157.29
09/18/2024 18:15,157.482,157.52,157.318,157.379
09/18/2024 18:10,157.586,157.636,157.453,157.528
09/18/2024 18:05,157.62,157.639,157.328,157.39
09/18/2024 18:00,158.04,158.04,157.183,157.481
09/18/2024 17:55,157.977,158.037,157.91,157.99
09/18/2024 17:50,157.89,157.973,157.84,157.972
09/18/2024 17:45,157.88,157.918,157.85,157.872
09/18/2024 17:40,157.848,157.906,157.81,157.886
09/18/2024 17:35,157.862,157.893,157.79,157.839
09/18/2024 17:30,157.792,157.858,157.76,157.849
09/18/2024 17:25,157.792,157.825,157.73,157.765
09/18/2024 17:20,157.797,157.819,157.74,157.783
09/18/2024 17:15,157.768,157.827,157.74,157.81
09/18/2024 17:10,157.774,157.79,157.72,157.72
09/18/2024 17:05,157.781,157.799,157.74,157.795
09/18/2024 17:00,157.82,157.863,157.78,157.837
09/18/2024 16:55,157.846,157.865,157.79,157.822
09/18/2024 16:50,157.846,157.907,157.82,157.887
09/18/2024 16:45,157.794,157.843,157.75,157.829
09/18/2024 16:40,157.8363646476445,157.8363646476445,157.76,157.812
09/18/2024 16:35,157.855,157.862,157.79,157.8
09/18/2024 16:30,157.811,157.874,157.78,157.87
09/18/2024 16:25,157.87,157.9048678720445,157.8,157.841
09/18/2024 16:20,157.886,157.891,157.83,157.864
09/18/2024 16:15,157.91,157.929,157.85,157.889
09/18/2024 16:10,157.809,157.936,157.79,157.912
09/18/2024 16:05,157.767,157.835,157.74,157.833
09/18/2024 16:00,157.766,157.8,157.72,157.784
